Last Check: 2026-02-22 15:49:01
Found Alive: 2926
Status: Active (Mega Pulse)[2026-02-22 17:51:59] Found: 3563 | Skipped: 6013 | Cycle: Active
[2026-02-22 17:56:50] Found: 3683 | Skipped: 6043 | Cycle: Active
[2026-02-22 18:14:58] Found: 3694 | Skipped: 6037 | Cycle: Active
[2026-02-22 18:22:37] Found: 3695 | Skipped: 6025 | Cycle: Active
[2026-02-22 18:24:51] Найдено: 3695 | Отфильтровано (кэш): 6013
[2026-02-22 18:32:35] Найдено: 3700 | Отфильтровано (кэш): 5987
[2026-02-22 18:36:32] Найдено: 3696 | Отфильтровано (кэш): 5990
[2026-03-01 20:16:59] Alive: 414 | Dead: 0 | Cache_Hit: 2481 | DNS_Fail: 8 | Wrong_Geo: 2660
[2026-03-01 21:15:10] Alive: 414 | Dead: 0 | Cache_Hit: 2484 | DNS_Fail: 8 | Wrong_Geo: 2660
[2026-03-01 22:15:22] Alive: 414 | Dead: 0 | Cache_Hit: 2484 | DNS_Fail: 8 | Wrong_Geo: 2660
[2026-03-01 23:15:41] Alive: 414 | Dead: 0 | Cache_Hit: 2484 | DNS_Fail: 8 | Wrong_Geo: 2660
[2026-03-02 01:17:58] Alive: 426 | Dead: 0 | Cache_Hit: 2497 | DNS_Fail: 8 | Wrong_Geo: 2674
[2026-03-02 04:06:21] Alive: 426 | Dead: 0 | Cache_Hit: 2514 | DNS_Fail: 8 | Wrong_Geo: 2690
[2026-03-02 05:45:47] Alive: 426 | Dead: 0 | Cache_Hit: 2519 | DNS_Fail: 8 | Wrong_Geo: 2690
[2026-03-02 06:46:03] Alive: 426 | Dead: 0 | Cache_Hit: 2519 | DNS_Fail: 8 | Wrong_Geo: 2690
[2026-03-02 07:43:15] Alive: 426 | Dead: 0 | Cache_Hit: 2519 | DNS_Fail: 8 | Wrong_Geo: 2690
[2026-03-02 08:34:37] Alive: 426 | Dead: 0 | Cache_Hit: 2519 | DNS_Fail: 8 | Wrong_Geo: 2690
[2026-03-02 09:39:06] Alive: 424 | Dead: 0 | Cache_Hit: 2511 | DNS_Fail: 8 | Wrong_Geo: 2683
[2026-03-02 10:36:25] Alive: 424 | Dead: 0 | Cache_Hit: 2514 | DNS_Fail: 8 | Wrong_Geo: 2683
[2026-03-02 11:27:15] Alive: 424 | Dead: 0 | Cache_Hit: 2514 | DNS_Fail: 8 | Wrong_Geo: 2683
[2026-03-02 12:37:47] Alive: 424 | Dead: 0 | Cache_Hit: 2514 | DNS_Fail: 8 | Wrong_Geo: 2683
[2026-03-02 13:54:51] Alive: 479 | Dead: 0 | Cache_Hit: 2516 | DNS_Fail: 8 | Wrong_Geo: 2730
[2026-03-02 14:38:03] Alive: 480 | Dead: 1 | Cache_Hit: 2551 | DNS_Fail: 8 | Wrong_Geo: 2730
[2026-03-02 15:33:51] Alive: 480 | Dead: 0 | Cache_Hit: 2559 | DNS_Fail: 8 | Wrong_Geo: 2730
[2026-03-02 16:34:39] Alive: 480 | Dead: 0 | Cache_Hit: 2559 | DNS_Fail: 8 | Wrong_Geo: 2730
[2026-03-02 17:38:00] Alive: 460 | Dead: 0 | Cache_Hit: 2521 | DNS_Fail: 8 | Wrong_Geo: 2704
[2026-03-02 18:34:55] Alive: 460 | Dead: 0 | Cache_Hit: 2537 | DNS_Fail: 8 | Wrong_Geo: 2704
[2026-03-02 19:31:42] Alive: 460 | Dead: 0 | Cache_Hit: 2537 | DNS_Fail: 8 | Wrong_Geo: 2704
[2026-03-02 20:26:59] Alive: 460 | Dead: 0 | Cache_Hit: 2537 | DNS_Fail: 8 | Wrong_Geo: 2704
